GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payroll,com.example.App,WebApp,20,16,8,4,7,3,8,1,2,1
Payroll,com.example.App.movieinfo.model,Rating,163,0,16,0,38,0,24,0,16,0
Payroll,com.example.App.movieinfo.model,User,122,0,14,0,24,0,19,0,12,0
Payroll,com.example.App.movieinfo.model,RatingReq,13,0,0,0,4,0,2,0,2,0
Payroll,com.example.App.movieinfo.model,Movie,123,0,14,0,27,0,20,0,13,0
Payroll,com.example.App.movieinfo.controller,Controller,3,0,0,0,1,0,1,0,1,0
Payroll,com.example.App.movieinfo.controller,MovieController,199,0,14,0,36,0,18,0,11,0
Payroll,com.example.App.movieinfo.controller,RatingController,155,0,12,0,31,0,13,0,7,0
Payroll,com.example.App.movieinfo.controller,VisController,3,0,0,0,1,0,1,0,1,0
Payroll,com.example.App.movieinfo.controller,RatingDoneAdvice,6,0,0,0,2,0,2,0,2,0
Payroll,com.example.App.movieinfo.controller,MovieNotFoundAdvice,6,0,0,0,2,0,2,0,2,0
Payroll,com.example.App.movieinfo.controller,MovieNotFoundException,14,0,0,0,4,0,3,0,3,0
Payroll,com.example.App.movieinfo.controller,ChatController,3,0,0,0,1,0,1,0,1,0
Payroll,com.example.App.movieinfo.controller,RatingDoneException,5,0,0,0,1,0,1,0,1,0
Payroll,com.example.App.movieinfo.controller,RecController,3,0,0,0,1,0,1,0,1,0
Payroll,com.example.App.movieinfo.repository,LoadMongoDB,166,0,6,0,39,0,11,0,8,0
